datetime,symbol,open,high,low,close,RSI
2023-09-22 21:00:00,OANDA:GBPAUD,1.90022,1.90052,1.8995,1.8995,36.6757073139654
2023-09-22 21:15:00,OANDA:GBPAUD,1.8995,1.89978,1.89924,1.89972,40.36803202356603
2023-09-22 21:30:00,OANDA:GBPAUD,1.89972,1.90072,1.89942,1.90056,51.900267225489884
2023-09-22 21:45:00,OANDA:GBPAUD,1.90056,1.90063,1.90006,1.90014,47.005442121334
2023-09-22 22:00:00,OANDA:GBPAUD,1.90014,1.90066,1.90001,1.90029,48.86047217729903
2023-09-22 22:15:00,OANDA:GBPAUD,1.90029,1.9004,1.89966,1.89976,43.11743195525907
2023-09-22 22:30:00,OANDA:GBPAUD,1.89976,1.8999,1.89956,1.89985,44.31438885334807
2023-09-22 22:45:00,OANDA:GBPAUD,1.89985,1.90064,1.8993,1.90022,49.06010002146296
2023-09-24 23:30:00,OANDA:GBPAUD,1.90022,1.90257,1.90022,1.90134,60.13522451836912
2023-09-24 23:45:00,OANDA:GBPAUD,1.90134,1.90134,1.89978,1.89994,46.519996990808885
2023-09-25 00:00:00,OANDA:GBPAUD,1.89994,1.90104,1.89966,1.90088,54.04360889064446
2023-09-25 00:15:00,OANDA:GBPAUD,1.90088,1.90105,1.90026,1.90062,51.870000069176115
2023-09-25 00:30:00,OANDA:GBPAUD,1.90062,1.90122,1.90013,1.9011,55.43366253514372
2023-09-25 00:45:00,OANDA:GBPAUD,1.9011,1.9013,1.90038,1.90097,54.26183954837582
2023-09-25 01:00:00,OANDA:GBPAUD,1.90097,1.90148,1.9009,1.90129,56.68889136919755
2023-09-25 01:15:00,OANDA:GBPAUD,1.90129,1.90154,1.90106,1.90134,57.07219571239619
2023-09-25 01:30:00,OANDA:GBPAUD,1.90134,1.90134,1.89985,1.90046,48.87397747179613
2023-09-25 01:45:00,OANDA:GBPAUD,1.90046,1.90088,1.9001,1.90059,50.01624835716635
2023-09-25 02:00:00,OANDA:GBPAUD,1.90059,1.90116,1.90029,1.90046,48.84108804992541
2023-09-25 02:15:00,OANDA:GBPAUD,1.90046,1.9007,1.89966,1.89973,42.764821021098605
2023-09-25 02:30:00,OANDA:GBPAUD,1.89973,1.90063,1.89944,1.90036,48.696784634771305
2023-09-25 02:45:00,OANDA:GBPAUD,1.90036,1.90142,1.90001,1.90094,53.47727757929406
